node1; node2; key; weight; label; text1; text2
5713d16a12d1a7349b26d8f820c18ab9;a00c0a2246d762b6aa03ef0961cbd966;full_image_query;0;;;;
5713d16a12d1a7349b26d8f820c18ab9;a00c0a2246d762b6aa03ef0961cbd966;related_text;0;;;;
5713d16a12d1a7349b26d8f820c18ab9;a00c0a2246d762b6aa03ef0961cbd966;subimage;1243.04623475575;;;;
5713d16a12d1a7349b26d8f820c18ab9;a00c0a2246d762b6aa03ef0961cbd966;ocr;0;;;;
5713d16a12d1a7349b26d8f820c18ab9;e2f3be5793a2701b0da07d957fbdf5da;full_image_query;0;;;;
5713d16a12d1a7349b26d8f820c18ab9;e2f3be5793a2701b0da07d957fbdf5da;related_text;0;;;;
5713d16a12d1a7349b26d8f820c18ab9;e2f3be5793a2701b0da07d957fbdf5da;subimage;1709.7286528740506;;;;
5713d16a12d1a7349b26d8f820c18ab9;e2f3be5793a2701b0da07d957fbdf5da;ocr;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;5713d16a12d1a7349b26d8f820c18ab9;full_image_query;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;5713d16a12d1a7349b26d8f820c18ab9;related_text;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;5713d16a12d1a7349b26d8f820c18ab9;subimage;1243.04623475575;;;;
a00c0a2246d762b6aa03ef0961cbd966;5713d16a12d1a7349b26d8f820c18ab9;ocr;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;df809fe0c5fa52c77eba64d15bf61021;full_image_query;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;df809fe0c5fa52c77eba64d15bf61021;related_text;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;df809fe0c5fa52c77eba64d15bf61021;subimage;1044.6971789951772;;;;
a00c0a2246d762b6aa03ef0961cbd966;df809fe0c5fa52c77eba64d15bf61021;ocr;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;12a5b3b3755636e2d712985ac88332b4;full_image_query;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;12a5b3b3755636e2d712985ac88332b4;related_text;0;;;;
a00c0a2246d762b6aa03ef0961cbd966;12a5b3b3755636e2d712985ac88332b4;subimage;1074.9539201611171;;;;
a00c0a2246d762b6aa03ef0961cbd966;12a5b3b3755636e2d712985ac88332b4;ocr;0;;;;
